VIN,Associated Location,Current Location,Associated Location IDs,Current LocationIDs
0E41HCN22ZKFES8JQ,"4 Old Colony Way, Yarmouth, MA 02664","4 Old Colony Way, Yarmouth, MA 02664",9804103823,9804103823
254Z19730ARU7X20A,"5114 Greentree Drive, Nashville, TN 37211","5114 Greentree Drive, Nashville, TN 37211",9802751028,9802751028
RDRRPPTCS1FMU86AQ,"8821 West Myrtle Avenue, Glendale, AZ 85305","8821 West Myrtle Avenue, Glendale, AZ 85305",9802955552,9802955552
QFKZHNLATPY64F3EX,"5906 Milton Avenue, Deale, MD 20751","5906 Milton Avenue, Deale, MD 20751",9804057613,9804057613
P72IT4OHXFEK0MBTR,"6463 Vrain Street, Arvada, CO 80003","6463 Vrain Street, Arvada, CO 80003",9803145377,9803145377
F9DHRXL83JDCLMGJ2,"2203 7th Street Road, Louisville, KY 40208","2203 7th Street Road, Louisville, KY 40208",9803094812,9803094812
DRM691U6AUVZKGA9C,"210 Lacross Lane, Westmore, VT 05860","210 Lacross Lane, Westmore, VT 05860",9802721820,9802721820
ETU0Q7IHJ46PEW733,"1649 Timberridge Court, Fayetteville, AR 72704","1649 Timberridge Court, Fayetteville, AR 72704",9804127287,9804127287
KDVO62IJ8L55UVV45,"60 Desousa Drive, Manchester, CT 06040","60 Desousa Drive, Manchester, CT 06040",9804092591,9804092591
3A9U8D0TNIOAQUPNL,"4 Old Colony Way, Yarmouth, MA 02664","4 Old Colony Way, Yarmouth, MA 02664",9804103823,9804103823
UXMA8ER2179QQFEOU,"3729 East Mission Boulevard, Fayetteville, AR 72703","3729 East Mission Boulevard, Fayetteville, AR 72703",9802667290,9802667290
FY2X9R0JCBVETIYMQ,"60 Desousa Drive, Manchester, CT 06040","60 Desousa Drive, Manchester, CT 06040",9804092591,9804092591
CP5HBMXOOSJT85ZA3,"5906 Milton Avenue, Deale, MD 20751","5906 Milton Avenue, Deale, MD 20751",9804057613,9804057613
J2UPCOYZMZP6KP4KR,"3162 Martin Luther King Junior Boulevard, Fayetteville, AR 72704","3162 Martin Luther King Junior Boulevard, Fayetteville, AR 72704",9804140660,9804140660
WAAZXRR4XG9V2VPL0,"210 Green Road, Manchester, CT 06042","210 Green Road, Manchester, CT 06042",9803066400,9803066400
DJ52H5GZZR6DELYSH,"5114 Greentree Drive, Nashville, TN 37211","5114 Greentree Drive, Nashville, TN 37211",9802751028,9802751028
32T83X9P7FY0I11C7,"3034 Mica Street, Fayetteville, AR 72704","3034 Mica Street, Fayetteville, AR 72704",9804199937,9804199937
GSPSDRYGN6ZZZLNYD,"2203 7th Street Road, Louisville, KY 40208","2203 7th Street Road, Louisville, KY 40208",9803094812,9803094812
9YCIN2Z2N8P6USL3T,"6007 Applegate Lane, Louisville, KY 40219","6007 Applegate Lane, Louisville, KY 40219",9803107745,9803107745
OYNT2WJTQIXO9HT1T,"629 Debbie Drive, Nashville, TN 37076","629 Debbie Drive, Nashville, TN 37076",9804165031,9804165031
MLGYP2J03CSERDSAN,"1649 Timberridge Court, Fayetteville, AR 72704","1649 Timberridge Court, Fayetteville, AR 72704",9804127287,9804127287
VCIO8VPUVQSVC4M9Z,"416 McIver Street, Nashville, TN 37211","416 McIver Street, Nashville, TN 37211",9804029267,9804029267
S1CIIOTH5SG01ZUCF,"2010 Rising Hill Drive, Norman, OK 73071","2010 Rising Hill Drive, Norman, OK 73071",9802819075,9802819075
YG573FFTPB6FAUASS,"3162 Martin Luther King Junior Boulevard, Fayetteville, AR 72704","3162 Martin Luther King Junior Boulevard, Fayetteville, AR 72704",9804140660,9804140660
N2F68A21GNY8XFKAH,"2721 Lindsay Avenue, Louisville, KY 40206","2721 Lindsay Avenue, Louisville, KY 40206",9804347670,9804347670
9NGZVE7BY839AMLV5,"87 Horseshoe Drive, West Windsor, VT 05037","87 Horseshoe Drive, West Windsor, VT 05037",9804092590,9804092590
GDPF3OSJYJT7SQ3U6,"5906 Milton Avenue, Deale, MD 20751","5906 Milton Avenue, Deale, MD 20751",9804057613,9804057613
G1I466PBZTUY40KMX,"210 Green Road, Manchester, CT 06042","210 Green Road, Manchester, CT 06042",9803066400,9803066400
TQEBYJ3CLK70CCD3F,"20930 Todd Valley Road, Foresthill, CA 95631","20930 Todd Valley Road, Foresthill, CA 95631",9804152489,9804152489
D5OHWW7XRNAEO3KWY,"388 East Main Street, , VT 05753","388 East Main Street, , VT 05753",9802844235,9802844235
K3DON7XC6PYYHZ2CZ,"3729 East Mission Boulevard, Fayetteville, AR 72703","3729 East Mission Boulevard, Fayetteville, AR 72703",9802667290,9802667290
C8HK4ONZZ8ATLMPDT,"3162 Martin Luther King Junior Boulevard, Fayetteville, AR 72704","3162 Martin Luther King Junior Boulevard, Fayetteville, AR 72704",9804140660,9804140660
CKWUMH2Y38HBJNJAQ,"5928 West Mauna Loa Lane, Glendale, AZ 85306","5928 West Mauna Loa Lane, Glendale, AZ 85306",9804211261,9804211261
V2M1JCYTRZLZ8O3BM,"8376 Albacore Drive, Pasadena, MD 21122","8376 Albacore Drive, Pasadena, MD 21122",9802738066,9802738066
0X5YQLWFBQ9KWL9Z7,"450 Kinhawk Drive, Nashville, TN 37211","450 Kinhawk Drive, Nashville, TN 37211",9802981421,9802981421
KXZZDGNI86T4XNQZ6,"5615 West Villa Maria Drive, Glendale, AZ 85308","5615 West Villa Maria Drive, Glendale, AZ 85308",9804092589,9804092589
1V1N2ZODKYTM0WNCC,"159 Downey Drive, Manchester, CT 06040","159 Downey Drive, Manchester, CT 06040",9802448723,9802448723
2KY3Y0PYK4DPEV2E2,"802 Madison Street Northwest, Washington, DC 20011","802 Madison Street Northwest, Washington, DC 20011",9804307367,9804307367
B4CWKGP86T0UP4BNC,"716 Waller Road, Brentwood, TN 37027","716 Waller Road, Brentwood, TN 37027",9804019342,9804019342
N9BZ0DUOQ8DBDU0Q2,"5615 West Villa Maria Drive, Glendale, AZ 85308","5615 West Villa Maria Drive, Glendale, AZ 85308",9804092589,9804092589
O3O5RZ7MLW0K38V5P,"1101 Lotus Avenue, Glen Burnie, MD 21061","1101 Lotus Avenue, Glen Burnie, MD 21061",9802721819,9802721819
7P4K2MCYQ1DHTNXON,"560 Penstock Drive, Grass Valley, CA 95945","560 Penstock Drive, Grass Valley, CA 95945",9804115223,9804115223
CE48OXWWZUTV3PWDR,"637 Britannia Drive, Vallejo, CA 94591","637 Britannia Drive, Vallejo, CA 94591",9802667288,9802667288
VQVQ1XJXBHBSSM045,"629 Debbie Drive, Nashville, TN 37076","629 Debbie Drive, Nashville, TN 37076",9804165031,9804165031
HSLI2DECA6YE6F2YP,"6007 Applegate Lane, Louisville, KY 40219","6007 Applegate Lane, Louisville, KY 40219",9803107745,9803107745
R943YAUC4LK748NSR,"1649 Timberridge Court, Fayetteville, AR 72704","1649 Timberridge Court, Fayetteville, AR 72704",9804127287,9804127287
PQPFNBP61N1IKBQNL,"5403 Illinois Avenue, Nashville, TN 37209","5403 Illinois Avenue, Nashville, TN 37209",9802933570,9802933570
CVGMED72368SF721V,"2721 Lindsay Avenue, Louisville, KY 40206","2721 Lindsay Avenue, Louisville, KY 40206",9804347670,9804347670
N8NE5IGWWX3RFSJRE,"2203 7th Street Road, Louisville, KY 40208","2203 7th Street Road, Louisville, KY 40208",9803094812,9803094812
LZYTFCCOUZCBVMHHJ,"5461 West Shades Valley Drive, Montgomery, AL 36108","5461 West Shades Valley Drive, Montgomery, AL 36108",9804140659,9804140659
TRTEE5XOS7SCJI9QH,"87 Horseshoe Drive, West Windsor, VT 05037","87 Horseshoe Drive, West Windsor, VT 05037",9804092590,9804092590
EV1SZPZTACLLH62T3,"74 Springfield Street, Agawam, MA 01001","74 Springfield Street, Agawam, MA 01001",9804071310,9804071310
N0VKRNXHQGIB50YD2,"600 West 19th Avenue, Anchorage, AK 99503","600 West 19th Avenue, Anchorage, AK 99503",9803015532,9803015532
W38RWLG2Z7OYRNRDP,"637 Britannia Drive, Vallejo, CA 94591","637 Britannia Drive, Vallejo, CA 94591",9802667288,9802667288
CX90HZWUQX44NHMK5,"6007 Applegate Lane, Louisville, KY 40219","6007 Applegate Lane, Louisville, KY 40219",9803107745,9803107745
30DG6Q2U8M4E7Y39X,"629 Debbie Drive, Nashville, TN 37076","629 Debbie Drive, Nashville, TN 37076",9804165031,9804165031
Z0K3GP9U38U8QJEIB,"314 South 17th Street, Nashville, TN 37206","314 South 17th Street, Nashville, TN 37206",9804103824,9804103824
Y9YGRZ4PQ2Z1GJVVZ,"314 South 17th Street, Nashville, TN 37206","314 South 17th Street, Nashville, TN 37206",9804103824,9804103824
3INH381IPKYADBTOX,"1508 Massachusetts Avenue Southeast, Washington, DC 20003","1508 Massachusetts Avenue Southeast, Washington, DC 20003",9804071311,9804071311
5Y10XJ3GQMA92J6WI,"49548 Road 200, O'Neals, CA 93645","49548 Road 200, O'Neals, CA 93645",9803072893,9803072893
1D97RKNRD3P586DTA,"802 Madison Street Northwest, Washington, DC 20011","802 Madison Street Northwest, Washington, DC 20011",9804307367,9804307367
0RSF733SRUHIE007R,"131 Westerly Street, Manchester, CT 06042","131 Westerly Street, Manchester, CT 06042",9803058289,9803058289
QFBRXP8BD55HH3QGA,"716 Waller Road, Brentwood, TN 37027","716 Waller Road, Brentwood, TN 37027",9804019342,9804019342
3O7A5VFCN6I1QJY8W,"2905 Stonebridge Court, Norman, OK 73071","2905 Stonebridge Court, Norman, OK 73071",9804152487,9804152487
MY144NIGARXWMFZTN,"3466 Southview Avenue, Montgomery, AL 36111","3466 Southview Avenue, Montgomery, AL 36111",9802882361,9802882361
7RFBOMJLA26Z44S4F,"3034 Mica Street, Fayetteville, AR 72704","3034 Mica Street, Fayetteville, AR 72704",9804199937,9804199937
OYB39DJPX1O8PADHS,"5403 Illinois Avenue, Nashville, TN 37209","5403 Illinois Avenue, Nashville, TN 37209",9802933570,9802933570
VPNOV22626UOLCHSI,"388 East Main Street, , VT 05753","388 East Main Street, , VT 05753",9802844235,9802844235
OXCTMGSIU554GNLXR,"23 Sable Run Lane, Methuen, MA 01844","23 Sable Run Lane, Methuen, MA 01844",9803094811,9803094811
KGQ3LR2I2CYNCP47L,"8821 West Myrtle Avenue, Glendale, AZ 85305","8821 West Myrtle Avenue, Glendale, AZ 85305",9802955552,9802955552
QE7W4CRUS8ZKMJZ62,"560 Penstock Drive, Grass Valley, CA 95945","560 Penstock Drive, Grass Valley, CA 95945",9804115223,9804115223
LFBZ2VA8XMSQE6DSV,"210 Lacross Lane, Westmore, VT 05860","210 Lacross Lane, Westmore, VT 05860",9802721820,9802721820
VSPZKLBZOSKYQ8BT8,"1513 Cathy Street, Savannah, GA 31415","1513 Cathy Street, Savannah, GA 31415",9803001870,9803001870
P5PSSMFFPNQSBHUZH,"1407 Walden Court, Crofton, MD 21114","1407 Walden Court, Crofton, MD 21114",9804041763,9804041763
40YATL4MWR27RX4JT,"23 Sable Run Lane, Methuen, MA 01844","23 Sable Run Lane, Methuen, MA 01844",9803094811,9803094811
SJJ6J1HZC32SNOR3I,"5601 West Crocus Drive, Glendale, AZ 85306","5601 West Crocus Drive, Glendale, AZ 85306",9802667289,9802667289
355O3CS9TXHC2GIXV,"3162 Martin Luther King Junior Boulevard, Fayetteville, AR 72704","3162 Martin Luther King Junior Boulevard, Fayetteville, AR 72704",9804140660,9804140660
R4QZUFBZZVEJ40L0A,"49548 Road 200, O'Neals, CA 93645","49548 Road 200, O'Neals, CA 93645",9803072893,9803072893
0EAFUH9T6VP76R0AR,"210 Green Road, Manchester, CT 06042","210 Green Road, Manchester, CT 06042",9803066400,9803066400
PKHIBXOJXYBY4U0UW,"5906 Milton Avenue, Deale, MD 20751","5906 Milton Avenue, Deale, MD 20751",9804057613,9804057613
YELWQL3CNKMAJFT88,"2010 Rising Hill Drive, Norman, OK 73071","2010 Rising Hill Drive, Norman, OK 73071",9802819075,9802819075
HLBNK68Z47NNA1CEO,"4 Old Colony Way, Yarmouth, MA 02664","4 Old Colony Way, Yarmouth, MA 02664",9804103823,9804103823
LMOS7O56608XHT5JP,"716 Waller Road, Brentwood, TN 37027","716 Waller Road, Brentwood, TN 37027",9804019342,9804019342
59PT5LIGNKO4YT9ZN,"1513 Cathy Street, Savannah, GA 31415","1513 Cathy Street, Savannah, GA 31415",9803001870,9803001870
70SCZJS0XKQOVA4NG,"150 Carter Street, Manchester, CT 06040","150 Carter Street, Manchester, CT 06040",9804249141,9804249141
V7GZ35JKONZI9YOO0,"1745 T Street Southeast, Washington, DC 20020","1745 T Street Southeast, Washington, DC 20020",9802682721,9802682721
7VDVOZEPOBD9Q6ZB7,"1407 Walden Court, Crofton, MD 21114","1407 Walden Court, Crofton, MD 21114",9804041763,9804041763
79ILLYATHGHRK6JLV,"6463 Vrain Street, Arvada, CO 80003","6463 Vrain Street, Arvada, CO 80003",9803145377,9803145377
WR9IOHKPDI1TO97H7,"6463 Vrain Street, Arvada, CO 80003","6463 Vrain Street, Arvada, CO 80003",9803145377,9803145377
NUG3VCGFEMQVVUJAI,"81 Seaton Place Northwest, Washington, DC 20001","81 Seaton Place Northwest, Washington, DC 20001",9803094809,9803094809
CEHZ2RYSS1MQSL8PK,"388 East Main Street, , VT 05753","388 East Main Street, , VT 05753",9802844235,9802844235
70HYNDA494SFMZGYY,"5928 West Mauna Loa Lane, Glendale, AZ 85306","5928 West Mauna Loa Lane, Glendale, AZ 85306",9804211261,9804211261
HKA149Q20LF7A9X29,"6007 Applegate Lane, Louisville, KY 40219","6007 Applegate Lane, Louisville, KY 40219",9803107745,9803107745
TSAPRUBIF5BIGBD8B,"3162 Martin Luther King Junior Boulevard, Fayetteville, AR 72704","3162 Martin Luther King Junior Boulevard, Fayetteville, AR 72704",9804140660,9804140660
HPJMYNN9HUSOZW9S1,"560 Penstock Drive, Grass Valley, CA 95945","560 Penstock Drive, Grass Valley, CA 95945",9804115223,9804115223
UNOEM40YA5M5GEG3W,"150 Carter Street, Manchester, CT 06040","150 Carter Street, Manchester, CT 06040",9804249141,9804249141
2IH69QEG0N5AZSTGE,"416 McIver Street, Nashville, TN 37211","416 McIver Street, Nashville, TN 37211",9804029267,9804029267
6TX7KN2W34RPOLE61,"7431 Candace Way, Louisville, KY 40214","7431 Candace Way, Louisville, KY 40214",9804029265,9804029265
I0O3XYD1DNGPXIIB0,"60 Desousa Drive, Manchester, CT 06040","60 Desousa Drive, Manchester, CT 06040",9804092591,9804092591
Q81OUH31DKWD7P121,"150 Carter Street, Manchester, CT 06040","150 Carter Street, Manchester, CT 06040",9804249141,9804249141
VMDQQO9GS7ZNGM6KA,"210 Lacross Lane, Westmore, VT 05860","210 Lacross Lane, Westmore, VT 05860",9802721820,9802721820
2J9VC60F2FQF5G7LI,"81 Seaton Place Northwest, Washington, DC 20001","81 Seaton Place Northwest, Washington, DC 20001",9803094809,9803094809
W5I97095BJ05OOBNR,"7431 Candace Way, Louisville, KY 40214","7431 Candace Way, Louisville, KY 40214",9804029265,9804029265
99X8HUQVBNIV3JQRC,"3466 Southview Avenue, Montgomery, AL 36111","3466 Southview Avenue, Montgomery, AL 36111",9802882361,9802882361
32FQAI1OZRU81TQN9,"87 Horseshoe Drive, West Windsor, VT 05037","87 Horseshoe Drive, West Windsor, VT 05037",9804092590,9804092590
93ER0FHLE2I1BRKL7,"1208 Elkader Court North, Nashville, TN 37013","1208 Elkader Court North, Nashville, TN 37013",9803040372,9803040372
MNE1O9K1X52U1DAU6,"5601 West Crocus Drive, Glendale, AZ 85306","5601 West Crocus Drive, Glendale, AZ 85306",9802667289,9802667289
NFGEAGYPFG49N2RMV,"1407 Walden Court, Crofton, MD 21114","1407 Walden Court, Crofton, MD 21114",9804041763,9804041763
2PSZDY9PMCAN4A75P,"637 Britannia Drive, Vallejo, CA 94591","637 Britannia Drive, Vallejo, CA 94591",9802667288,9802667288
9CCCTGUS0UW70VDHC,"5601 West Crocus Drive, Glendale, AZ 85306","5601 West Crocus Drive, Glendale, AZ 85306",9802667289,9802667289
LMC5EBIFY4OHB72NG,"416 McIver Street, Nashville, TN 37211","416 McIver Street, Nashville, TN 37211",9804029267,9804029267
9W8WJB24KPMO7F58Q,"1267 Martin Street, Nashville, TN 37203","1267 Martin Street, Nashville, TN 37203",9804019343,9804019343
6BNO8GTYKW8GW290I,"5928 West Mauna Loa Lane, Glendale, AZ 85306","5928 West Mauna Loa Lane, Glendale, AZ 85306",9804211261,9804211261
9AAMLHBRQCE3WL9PW,"716 Waller Road, Brentwood, TN 37027","716 Waller Road, Brentwood, TN 37027",9804019342,9804019342
34LKA4YGE4GROVWH1,"450 Kinhawk Drive, Nashville, TN 37211","450 Kinhawk Drive, Nashville, TN 37211",9802981421,9802981421
W09ESDFFWHLFNX5L7,"629 Debbie Drive, Nashville, TN 37076","629 Debbie Drive, Nashville, TN 37076",9804165031,9804165031
VHGV98VWW46Z9YHW8,"716 Waller Road, Brentwood, TN 37027","716 Waller Road, Brentwood, TN 37027",9804019342,9804019342
2QF4I7IBXPQATH5G6,"3162 Martin Luther King Junior Boulevard, Fayetteville, AR 72704","3162 Martin Luther King Junior Boulevard, Fayetteville, AR 72704",9804140660,9804140660
C17R53S7055JI3PGO,"5403 Illinois Avenue, Nashville, TN 37209","5403 Illinois Avenue, Nashville, TN 37209",9802933570,9802933570
1GVQMQOMN1TR4AK87,"109 Summit Street, Burlington, VT 05401","109 Summit Street, Burlington, VT 05401",9804174498,9804174498
MVBEPVFSCGH1H83PI,"5403 Illinois Avenue, Nashville, TN 37209","5403 Illinois Avenue, Nashville, TN 37209",9802933570,9802933570
5Y7MA48ZVVT6GDSYX,"8821 West Myrtle Avenue, Glendale, AZ 85305","8821 West Myrtle Avenue, Glendale, AZ 85305",9802955552,9802955552
ORYFQXTUWJTP31BPT,"60 Desousa Drive, Manchester, CT 06040","60 Desousa Drive, Manchester, CT 06040",9804092591,9804092591
Y6CXX8GN15SUQQ7A8,"6463 Vrain Street, Arvada, CO 80003","6463 Vrain Street, Arvada, CO 80003",9803145377,9803145377
JV9GAI41C16DYUXAJ,"4 Old Colony Way, Yarmouth, MA 02664","4 Old Colony Way, Yarmouth, MA 02664",9804103823,9804103823
7JZE51LY60K4PUVV2,"6463 Vrain Street, Arvada, CO 80003","6463 Vrain Street, Arvada, CO 80003",9803145377,9803145377
F0A2F3NR1LGY04NHP,"2905 Stonebridge Court, Norman, OK 73071","2905 Stonebridge Court, Norman, OK 73071",9804152487,9804152487
H6I9D4UI6BI7IEEQ1,"1649 Timberridge Court, Fayetteville, AR 72704","1649 Timberridge Court, Fayetteville, AR 72704",9804127287,9804127287
H4JZU2VWFI4QT3PQN,"5601 West Crocus Drive, Glendale, AZ 85306","5601 West Crocus Drive, Glendale, AZ 85306",9802667289,9802667289
UOWGJUWYR1JLFCGOZ,"87 Horseshoe Drive, West Windsor, VT 05037","87 Horseshoe Drive, West Windsor, VT 05037",9804092590,9804092590
VHUXBSEPEOEZN09GM,"23 Sable Run Lane, Methuen, MA 01844","23 Sable Run Lane, Methuen, MA 01844",9803094811,9803094811
BHO55RIW2JSFLUEYC,"1407 Walden Court, Crofton, MD 21114","1407 Walden Court, Crofton, MD 21114",9804041763,9804041763
3P19DE3JQ2GO7T87Z,"308 Woodleaf Court, Glen Burnie, MD 21061","308 Woodleaf Court, Glen Burnie, MD 21061",9803072894,9803072894
FEKVJDYKC4ERE6XIV,"210 Green Road, Manchester, CT 06042","210 Green Road, Manchester, CT 06042",9803066400,9803066400
6XFCRMTJB2BKOM0HJ,"5461 West Shades Valley Drive, Montgomery, AL 36108","5461 West Shades Valley Drive, Montgomery, AL 36108",9804140659,9804140659
T8MRSCO6NWYPQ7E6M,"637 Britannia Drive, Vallejo, CA 94591","637 Britannia Drive, Vallejo, CA 94591",9802667288,9802667288
0WOKTCC5BVVKVWWPN,"560 Penstock Drive, Grass Valley, CA 95945","560 Penstock Drive, Grass Valley, CA 95945",9804115223,9804115223
5FRCBKKHB9UYAI9XH,"314 South 17th Street, Nashville, TN 37206","314 South 17th Street, Nashville, TN 37206",9804103824,9804103824
