Full Address,Current Location,Associated Vehicle,Current LocationIDs,Associated Vehicle IDs
"130 Old Route 103, Chester, VT 05143",QSTM293R76G0J9ZIA;SE3DCVAXEAJC8XF0C;25O2OKWRTFNGKNJZ8;4B9ORYKS0LTED38FI;PC3Z9ZOOHHW6PFJHA;5RGSQ2AL7S0ST1XX3;4SD7YJNA79677JI3E;TCZG3BG8ICG3Z2NG0,QSTM293R76G0J9ZIA;SE3DCVAXEAJC8XF0C;25O2OKWRTFNGKNJZ8;4B9ORYKS0LTED38FI;PC3Z9ZOOHHW6PFJHA;5RGSQ2AL7S0ST1XX3;4SD7YJNA79677JI3E;TCZG3BG8ICG3Z2NG0,10676819490;10677744157;10676784810;10677508353;10677830287;10677696326;10676631906;10676910005,10676819490;10677744157;10676784810;10677508353;10677830287;10677696326;10676631906;10676910005
"270 Chrissy's Court, , VT 05443",BM4OMUPYRRTO16FRW;70ZZLHP15F4G4J5N5;EKY5DHC9RST2EED0R;DK9O6DIE8RXV37OBP;IPCL6OBT7UDYCFQAP;PA8CJH1CH4DEJR36R,BM4OMUPYRRTO16FRW;70ZZLHP15F4G4J5N5;EKY5DHC9RST2EED0R;DK9O6DIE8RXV37OBP;IPCL6OBT7UDYCFQAP;PA8CJH1CH4DEJR36R,10677636952;10677644099;10677747634;10677747630;10676732256;10677696328,10677636952;10677644099;10677747634;10677747630;10676732256;10677696328
"913 Fallview Trail, Nashville, TN 37211",TFE5ZI0DSXGGHEC5Y;HJM7HGRJG5GGZM1SM;L2DXRVTLHKVN62QXX;0KGYCUQTCGXSWFVRN;HESQI8XZ6J1QIUB0X;8RVP5FJBJCR4Q9J6Z,TFE5ZI0DSXGGHEC5Y;HJM7HGRJG5GGZM1SM;L2DXRVTLHKVN62QXX;0KGYCUQTCGXSWFVRN;HESQI8XZ6J1QIUB0X;8RVP5FJBJCR4Q9J6Z,10676774964;10676869464;10676698655;10676826964;10677752709;10676942428,10676774964;10676869464;10676698655;10676826964;10677752709;10676942428
"5108 Franklin Street, Savannah, GA 31405",8UBK18URFORVDBJ1C;ZQOYQCM0Z97LDI6P6;MRUVF2MHR0M362T70;GVKEUU9UPZEG6GTHX;D7UW9ZGS2ITOXBIE6;X9TU1CQYV5PT6TX82;8QD5OI2IIH8F70YTF,8UBK18URFORVDBJ1C;ZQOYQCM0Z97LDI6P6;MRUVF2MHR0M362T70;GVKEUU9UPZEG6GTHX;D7UW9ZGS2ITOXBIE6;X9TU1CQYV5PT6TX82;8QD5OI2IIH8F70YTF,10676910157;10676618885;10676676223;10676732259;10676819492;10676618889;10677752707,10676910157;10676618885;10676676223;10676732259;10676819492;10676618889;10677752707
"5811 Crossings Boulevard, Nashville, TN 37013",YM3WTR8RLMQODSMOS;RJ6UYG26KGJ8F6381;JCP03VP2H8ZXNHT7B;QXCPT065U8D9U654B;O8EOD6QGU0IB15XFH;LD5S4VP0UF3R1RD9F;TYRKLYRPRDGF6WW5J;L6UB68CYJ7X0C30AI;423X785I8MWMT8B5V,YM3WTR8RLMQODSMOS;RJ6UYG26KGJ8F6381;JCP03VP2H8ZXNHT7B;QXCPT065U8D9U654B;O8EOD6QGU0IB15XFH;LD5S4VP0UF3R1RD9F;TYRKLYRPRDGF6WW5J;L6UB68CYJ7X0C30AI;423X785I8MWMT8B5V,10676698657;10677601857;10677601853;10676910003;10677744154;10676689518;10677587526;10676741416;10677689928,10676698657;10677601857;10677601853;10676910003;10677744154;10676689518;10677587526;10676741416;10677689928
"1 Kempf Drive, Easton, MA 02375",WGMAF7JPI9WELI4AU;5ADOF30P1CYD3FB8R;YTMDJTWCECH6VFZ5G;7O32KXIKK5SM7QJIZ;CXOM9L0E0OG3P5UTZ,WGMAF7JPI9WELI4AU;5ADOF30P1CYD3FB8R;YTMDJTWCECH6VFZ5G;7O32KXIKK5SM7QJIZ;CXOM9L0E0OG3P5UTZ,10677760074;10677752708;10677765424;10676869465;10677830283,10677760074;10677752708;10677765424;10676869465;10677830283
"232 Maine Avenue, Panama City, FL 32401",TPHSQLKIMORZOSLDV;B4PE53YWY735RG1FL;JRS7Z8NI5Q8802UG8;6H2B5X745XVHAMJUM;UDIU77M7EW1DVKEM5;441WLVE62TT3QGHUI;ZRUFP7QYVPKUOMLPQ;GROHGXG5F853ZUSF4,TPHSQLKIMORZOSLDV;B4PE53YWY735RG1FL;JRS7Z8NI5Q8802UG8;6H2B5X745XVHAMJUM;UDIU77M7EW1DVKEM5;441WLVE62TT3QGHUI;ZRUFP7QYVPKUOMLPQ;GROHGXG5F853ZUSF4,10676603253;10677655308;10677526873;10677742849;10677587525;10677804938;10677572434;10677752712,10676603253;10677655308;10677526873;10677742849;10677587525;10677804938;10677572434;10677752712
"700 Winston Place, Anchorage, AK 99504",GA2K0GG5DRS3PD919;W5ZWISTYKJ1XHGDQI;4U5WN34V9LU1ZIZWZ;8JEZ3YHAQYWPJGO1Q;43T24GEQIENWF0ZR4;35P4U3ZM7WZDWMZP8,GA2K0GG5DRS3PD919;W5ZWISTYKJ1XHGDQI;4U5WN34V9LU1ZIZWZ;8JEZ3YHAQYWPJGO1Q;43T24GEQIENWF0ZR4;35P4U3ZM7WZDWMZP8,10677661848;10676676229;10677742777;10676670827;10677636951;10676836370,10677661848;10676676229;10677742777;10676670827;10677636951;10676836370
"8398 West Denton Lane, Glendale, AZ 85305",JUE1VXEPA4OKW46U8;3ITCSXASKOYESAXWJ;JG5S7HLVD43SP37FH;PZXCQURBJJ5MDQV72;PMVFFG3XU1HVE36UJ;I9J5ZM5PD9QHSFZIB;9OGZVBMP2PWBQS3ZQ;AVSAX5NRZ1ZUHSBQ1;JDX30ZEC6T64O8A0O,JUE1VXEPA4OKW46U8;3ITCSXASKOYESAXWJ;JG5S7HLVD43SP37FH;PZXCQURBJJ5MDQV72;PMVFFG3XU1HVE36UJ;I9J5ZM5PD9QHSFZIB;9OGZVBMP2PWBQS3ZQ;AVSAX5NRZ1ZUHSBQ1;JDX30ZEC6T64O8A0O,10676637522;10677760077;10677572430;10676618884;10677775126;10676631907;10677744156;10676711428;10676689516,10676637522;10677760077;10677572430;10676618884;10677775126;10676631907;10677744156;10676711428;10676689516
"31353 Santa Elena Way, Union City, CA 94587",E69GTL3S8KD8E0HS9;T64KXF4L5GMXMHT0W;L9B93PSEAZVEUM95P;HJN92QZ0S74QDJUGW;3X7S76NRKTZCL4010;4NNO8U2ENQ3IL17HD,E69GTL3S8KD8E0HS9;T64KXF4L5GMXMHT0W;L9B93PSEAZVEUM95P;HJN92QZ0S74QDJUGW;3X7S76NRKTZCL4010;4NNO8U2ENQ3IL17HD,10676583723;10676631909;10677648800;10676460212;10677765421;10676637521,10676583723;10676631909;10677648800;10676460212;10677765421;10676637521
"519 West 75th Avenue, Anchorage, AK 99518",QMRHVH6YK3UG2K9PA;QJ6SHDKPSR0RO3O1Z;JJ3L30RZNIGWJR7HZ;7KBE3F9IS02NI7ZLY;434MORMRI80GO24L3;PAYH4Z2X6PCKF1PKZ;8NOS8D1W5H2YDL8F2;4POXPYYGO37N57HH2;LFG90JLFNC152695S,QMRHVH6YK3UG2K9PA;QJ6SHDKPSR0RO3O1Z;JJ3L30RZNIGWJR7HZ;7KBE3F9IS02NI7ZLY;434MORMRI80GO24L3;PAYH4Z2X6PCKF1PKZ;8NOS8D1W5H2YDL8F2;4POXPYYGO37N57HH2;LFG90JLFNC152695S,10676676225;10676819487;10676676224;10677684119;10677742848;10677720717;10677696329;10676583719;10677760078,10676676225;10676819487;10676676224;10677684119;10677742848;10677720717;10677696329;10676583719;10677760078
"6657 West Rose Garden Lane, Glendale, AZ 85308",M8ZMZIAADVB5OOKLB;GZ7OS2033ZXIDP4MS;CRKQRZNKISFSGDPSN;TSJ24H60H406HRKZA;JWA7KBDHAUPQW4QFI;WGGJ24Y15WOZZ9JAL;QJOOSATQZZKO1IYJ1;Q95BJETSLMW0T8L87,M8ZMZIAADVB5OOKLB;GZ7OS2033ZXIDP4MS;CRKQRZNKISFSGDPSN;TSJ24H60H406HRKZA;JWA7KBDHAUPQW4QFI;WGGJ24Y15WOZZ9JAL;QJOOSATQZZKO1IYJ1;Q95BJETSLMW0T8L87,10676910158;10676631905;10676741417;10677735061;10676750502;10677747635;10676774960;10677542831,10676910158;10676631905;10676741417;10677735061;10676750502;10677747635;10676774960;10677542831
"132 Laurel Green Court, Savannah, GA 31419",8G497W5IPC2HVBVKK;W0NFJW91LZ18VGAIO;2KKKDWKPHMEV4N0QK;H6EO065UY9Z2C0ZU6;AAF0RHY0Y1A0X337B;80F86867I4UKHAIGG;6Z77FA6T8BX53B346;1NJKNQG465ZFY1CVU;XSB6D5VYANQF8U6M3;VGYUE6N3VJ309SO6R,8G497W5IPC2HVBVKK;W0NFJW91LZ18VGAIO;2KKKDWKPHMEV4N0QK;H6EO065UY9Z2C0ZU6;AAF0RHY0Y1A0X337B;80F86867I4UKHAIGG;6Z77FA6T8BX53B346;1NJKNQG465ZFY1CVU;XSB6D5VYANQF8U6M3;VGYUE6N3VJ309SO6R,10676774963;10676613163;10676774959;10677696332;10677587524;10676538491;10676460213;10676670829;10677866754;10676750503,10676774963;10676613163;10676774959;10677696332;10677587524;10676538491;10676460213;10676670829;10677866754;10676750503
"1364 Capri Drive, Panama City, FL 32405",JI6A3U4AXWE95ZK66;419KBBDAB6EBPEK9L;ZNJA64I51PZ8GQCX2;BE9LY743J8VLQ9COX;622PQT8T6GHD649TR;YTQP7FPG53LJSFOML;L44IW1KAV5NMZW5BL;Y7EHVOWF5KYB0D5YP,JI6A3U4AXWE95ZK66;419KBBDAB6EBPEK9L;ZNJA64I51PZ8GQCX2;BE9LY743J8VLQ9COX;622PQT8T6GHD649TR;YTQP7FPG53LJSFOML;L44IW1KAV5NMZW5BL;Y7EHVOWF5KYB0D5YP,10677648799;10677711108;10676807726;10676613162;10676819488;10677631552;10676681229;10677830285,10677648799;10677711108;10676807726;10676613162;10676819488;10677631552;10676681229;10677830285
"310 Timrod Road, Manchester, CT 06040",DWECS79Y4LBB2PF06;VSDPLS6JFSNKAK1VG;BBK74X09OT0T4WNSE;IO588LNN5ZBQFBDZS;IT1S0K7KX0K44R3D6;YAWRZDVP3E8S2XW1L;ZW4RJMIJK0DHF7XJW;CN5LTOXNJZUQ3IJJG,DWECS79Y4LBB2PF06;VSDPLS6JFSNKAK1VG;BBK74X09OT0T4WNSE;IO588LNN5ZBQFBDZS;IT1S0K7KX0K44R3D6;YAWRZDVP3E8S2XW1L;ZW4RJMIJK0DHF7XJW;CN5LTOXNJZUQ3IJJG,10676784808;10676583720;10676836373;10677711107;10676796059;10676826965;10677803781;10676732257,10676784808;10676583720;10676836373;10677711107;10676796059;10676826965;10677803781;10676732257
"4695 East Huntsville Road, Fayetteville, AR 72701",QT7XPF4Z979JU5SC7;IZ5X8EVF8VBM0UKLF;311GVPFAIDPO9Y9Y4;40QN7DXTM2XXJSEYX;T0EEUEQK23E94NHFN;MUR5LMEUDMDUWSFJU;C1K03NJINJ9CRYKM1;YI5FVLTQBWRNZSHDO,QT7XPF4Z979JU5SC7;IZ5X8EVF8VBM0UKLF;311GVPFAIDPO9Y9Y4;40QN7DXTM2XXJSEYX;T0EEUEQK23E94NHFN;MUR5LMEUDMDUWSFJU;C1K03NJINJ9CRYKM1;YI5FVLTQBWRNZSHDO,10677631556;10677636948;10677661846;10677752714;10676942431;10677614193;10676681226;10677601856,10677631556;10677636948;10677661846;10677752714;10676942431;10677614193;10676681226;10677601856
"80 North East Street, Holyoke, MA 01040",NFQA85XAW4RV9SVTT;BH8526ZIC4Q4MFTIH;VLH7NLG5SNNS2QLHE;QI9IT8M1Z8VR15OJ4;YVEXQSNDCGHGXVSRN;Q802ZUV97X1X5ELVE,NFQA85XAW4RV9SVTT;BH8526ZIC4Q4MFTIH;VLH7NLG5SNNS2QLHE;QI9IT8M1Z8VR15OJ4;YVEXQSNDCGHGXVSRN;Q802ZUV97X1X5ELVE,10676583722;10677648803;10676846622;10676670828;10677614197;10676758097,10676583722;10677648803;10676846622;10676670828;10677614197;10676758097
"12245 West 71st Place, Arvada, CO 80004",2ZUESOLSI7101UBEM;TFTBTPOEW9SBHRLGY;PYYA1UW31OMZPLOE1;FGG88G46U1LBFZD4S;XKMUAK0KXL3852WTX;7FW3G1257DO4AEF5W,2ZUESOLSI7101UBEM;TFTBTPOEW9SBHRLGY;PYYA1UW31OMZPLOE1;FGG88G46U1LBFZD4S;XKMUAK0KXL3852WTX;7FW3G1257DO4AEF5W,10677804942;10676819489;10677676105;10677587614;10676807723;10676711432,10677804942;10676819489;10677676105;10677587614;10676807723;10676711432
"491 Arabian Way, Grand Junction, CO 81504",3PKMWAP5OTCTJ38ED;GYQKNZP986ORWTX02;U6AHYDFKSGTTPMX1Y;K85YODQQ6WC6C9J29;1VMNBQA7J8QSDW02Q;7M1D8D7CXT6ADMO2T;HA5DKKWXUY3F4U2SC;AO0STURM02FBM49P4;KCDWIOZJVE3T8Z1SK,3PKMWAP5OTCTJ38ED;GYQKNZP986ORWTX02;U6AHYDFKSGTTPMX1Y;K85YODQQ6WC6C9J29;1VMNBQA7J8QSDW02Q;7M1D8D7CXT6ADMO2T;HA5DKKWXUY3F4U2SC;AO0STURM02FBM49P4;KCDWIOZJVE3T8Z1SK,10676807724;10676836367;10677803782;10676942427;10677526877;10676741419;10677655306;10677572431;10676741421,10676807724;10676836367;10677803782;10676942427;10677526877;10676741419;10677655306;10677572431;10676741421
